date,timestamp,timestamp_ms,respiration_rate
2026-03-02,2026-03-02 05:42:00,1772430120000,12.0
2026-03-02,2026-03-02 05:44:00,1772430240000,11.0
2026-03-02,2026-03-02 05:46:00,1772430360000,10.0
2026-03-02,2026-03-02 05:48:00,1772430480000,13.0
2026-03-02,2026-03-02 05:50:00,1772430600000,11.0
2026-03-02,2026-03-02 05:52:00,1772430720000,11.0
2026-03-02,2026-03-02 05:54:00,1772430840000,12.0
2026-03-02,2026-03-02 05:56:00,1772430960000,12.0
2026-03-02,2026-03-02 05:58:00,1772431080000,12.0
2026-03-02,2026-03-02 06:00:00,1772431200000,12.0
2026-03-02,2026-03-02 06:02:00,1772431320000,13.0
2026-03-02,2026-03-02 06:04:00,1772431440000,12.0
2026-03-02,2026-03-02 06:06:00,1772431560000,13.0
2026-03-02,2026-03-02 06:08:00,1772431680000,13.0
2026-03-02,2026-03-02 06:10:00,1772431800000,12.0
2026-03-02,2026-03-02 06:12:00,1772431920000,9.0
2026-03-02,2026-03-02 06:14:00,1772432040000,9.0
2026-03-02,2026-03-02 06:16:00,1772432160000,11.0
2026-03-02,2026-03-02 06:18:00,1772432280000,13.0
2026-03-02,2026-03-02 06:20:00,1772432400000,15.0
2026-03-02,2026-03-02 06:22:00,1772432520000,15.0
2026-03-02,2026-03-02 06:24:00,1772432640000,13.0
2026-03-02,2026-03-02 06:26:00,1772432760000,11.0
2026-03-02,2026-03-02 06:28:00,1772432880000,10.0
2026-03-02,2026-03-02 06:30:00,1772433000000,12.0
2026-03-02,2026-03-02 06:32:00,1772433120000,13.0
2026-03-02,2026-03-02 06:34:00,1772433240000,11.0
2026-03-03,2026-03-03 01:16:30,1772500590000,14.0
2026-03-03,2026-03-03 01:18:00,1772500680000,13.0
2026-03-03,2026-03-03 01:20:00,1772500800000,13.0
2026-03-03,2026-03-03 01:22:00,1772500920000,13.0
2026-03-03,2026-03-03 01:24:00,1772501040000,13.0
2026-03-03,2026-03-03 01:26:00,1772501160000,13.0
2026-03-03,2026-03-03 01:28:00,1772501280000,13.0
2026-03-03,2026-03-03 01:30:00,1772501400000,14.0
2026-03-03,2026-03-03 01:32:00,1772501520000,14.0
2026-03-03,2026-03-03 01:34:00,1772501640000,14.0
2026-03-03,2026-03-03 01:36:00,1772501760000,14.0
2026-03-03,2026-03-03 01:38:00,1772501880000,13.0
2026-03-03,2026-03-03 01:40:00,1772502000000,13.0
2026-03-03,2026-03-03 01:42:00,1772502120000,12.0
2026-03-03,2026-03-03 01:44:00,1772502240000,13.0
2026-03-03,2026-03-03 01:46:00,1772502360000,13.0
2026-03-03,2026-03-03 01:48:00,1772502480000,12.0
2026-03-03,2026-03-03 01:50:00,1772502600000,13.0
2026-03-03,2026-03-03 01:52:00,1772502720000,13.0
2026-03-03,2026-03-03 01:54:00,1772502840000,13.0
2026-03-03,2026-03-03 01:56:00,1772502960000,13.0
